Id,Name,Description,Created on,Updated on,Owner,License,Includes wiki,Forks count,Issues count,Stars count,Watchers count,Repo URL,Commits URL,Languages URL,Views,Clones,Languages
246146610,AWSpricing.jl,AWS pricing helper,2020-03-09T21:33:41Z,2020-03-11T00:57:36Z,slimgroup,,True,0,0,0,0,https://api.github.com/repos/slimgroup/AWSpricing.jl,https://api.github.com/repos/slimgroup/AWSpricing.jl/commits,https://api.github.com/repos/slimgroup/AWSpricing.jl/languages,0,0,Julia
202234431,Azure2019,Azure workflow for SLIM algorithms.,2019-08-13T22:50:38Z,2021-01-10T05:26:53Z,slimgroup,MIT License,True,1,2,2,2,https://api.github.com/repos/slimgroup/Azure2019,https://api.github.com/repos/slimgroup/Azure2019/commits,https://api.github.com/repos/slimgroup/Azure2019/languages,3,4,"Python, Dockerfile, Shell"
128848259,BibTex,SLIM's BibTech database,2018-04-10T00:07:58Z,2021-11-04T02:55:39Z,slimgroup,,True,0,0,0,0,https://api.github.com/repos/slimgroup/BibTex,https://api.github.com/repos/slimgroup/BibTex/commits,https://api.github.com/repos/slimgroup/BibTex/languages,11,11,"TeX, Python, Rich Text Format, Shell"
126898298,CloudExtras.jl,Extra utilities for Cloud Computing,2018-03-26T22:40:39Z,2019-08-31T19:23:33Z,slimgroup,MIT License,True,0,0,0,0,https://api.github.com/repos/slimgroup/CloudExtras.jl,https://api.github.com/repos/slimgroup/CloudExtras.jl/commits,https://api.github.com/repos/slimgroup/CloudExtras.jl/languages,1,2,Julia
212462061,CloudSegyIO.jl,SegyIO overlay for writing to Cloud buckets,2019-10-02T23:37:06Z,2019-10-03T01:16:58Z,slimgroup,MIT License,True,0,0,0,0,https://api.github.com/repos/slimgroup/CloudSegyIO.jl,https://api.github.com/repos/slimgroup/CloudSegyIO.jl/commits,https://api.github.com/repos/slimgroup/CloudSegyIO.jl/languages,0,0,Julia
307709753,ConstrainedFWIExamples,FWI examples with constraints.,2020-10-27T13:30:48Z,2021-08-16T18:58:01Z,slimgroup,MIT License,True,2,0,1,1,https://api.github.com/repos/slimgroup/ConstrainedFWIExamples,https://api.github.com/repos/slimgroup/ConstrainedFWIExamples/commits,https://api.github.com/repos/slimgroup/ConstrainedFWIExamples/languages,1,3,"Jupyter Notebook, Julia"
102911378,CPUmonitor.jl,CPU monitoring tool,2017-09-08T23:02:44Z,2019-08-27T23:42:02Z,slimgroup,MIT License,True,0,0,0,0,https://api.github.com/repos/slimgroup/CPUmonitor.jl,https://api.github.com/repos/slimgroup/CPUmonitor.jl/commits,https://api.github.com/repos/slimgroup/CPUmonitor.jl/languages,1,1,Julia
246317464,Devito-Examples,Set of seismic modeling and inversion examples using Devito for different wave equations.,2020-03-10T14:06:22Z,2021-10-22T16:16:30Z,slimgroup,MIT License,True,3,0,8,8,https://api.github.com/repos/slimgroup/Devito-Examples,https://api.github.com/repos/slimgroup/Devito-Examples/commits,https://api.github.com/repos/slimgroup/Devito-Examples/languages,12,6,"Jupyter Notebook, Python"
259481291,Devito4PyTorch,Integrating Devito operators into PyTorch,2020-04-27T23:33:43Z,2021-03-17T15:34:24Z,slimgroup,MIT License,True,1,0,7,7,https://api.github.com/repos/slimgroup/Devito4PyTorch,https://api.github.com/repos/slimgroup/Devito4PyTorch/commits,https://api.github.com/repos/slimgroup/Devito4PyTorch/languages,1,4,Python
402598642,dfno,Distributed Fourier Neural Operators,2021-09-03T00:25:08Z,2021-11-04T18:10:05Z,slimgroup,MIT License,True,0,0,3,3,https://api.github.com/repos/slimgroup/dfno,https://api.github.com/repos/slimgroup/dfno/commits,https://api.github.com/repos/slimgroup/dfno/languages,17,11,Python
